1664439628152|0|rollback|connection 86|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439651648|14|statement|connection 91|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|alter table article drop foreign key FKhsk0dkar5bxukvagpa0pcolrw|alter table article drop foreign key FKhsk0dkar5bxukvagpa0pcolrw
1664439651672|23|statement|connection 91|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|drop table if exists article|drop table if exists article
1664439651694|21|statement|connection 91|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|drop table if exists gen_file|drop table if exists gen_file
1664439651734|40|statement|connection 91|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|drop table if exists member|drop table if exists member
1664439651831|96|statement|connection 92|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|create table article (id bigint not null auto_increment, create_date datetime(6), modify_date datetime(6), content varchar(255), subject varchar(255), author_id bigint, primary key (id)) engine=InnoDB|create table article (id bigint not null auto_increment, create_date datetime(6), modify_date datetime(6), content varchar(255), subject varchar(255), author_id bigint, primary key (id)) engine=InnoDB
1664439651909|77|statement|connection 92|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|create table gen_file (id bigint not null auto_increment, create_date datetime(6), modify_date datetime(6), file_dir varchar(255), file_ext varchar(255), file_ext_type2code varchar(255), file_ext_type_code varchar(255), file_no integer not null, file_size integer not null, is_ready bit not null, origin_file_name varchar(255), rel_id bigint not null, rel_type_code varchar(255), type2code varchar(255), type_code varchar(255), primary key (id)) engine=InnoDB|create table gen_file (id bigint not null auto_increment, create_date datetime(6), modify_date datetime(6), file_dir varchar(255), file_ext varchar(255), file_ext_type2code varchar(255), file_ext_type_code varchar(255), file_no integer not null, file_size integer not null, is_ready bit not null, origin_file_name varchar(255), rel_id bigint not null, rel_type_code varchar(255), type2code varchar(255), type_code varchar(255), primary key (id)) engine=InnoDB
1664439651963|53|statement|connection 92|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|create table member (id bigint not null auto_increment, create_date datetime(6), modify_date datetime(6), email varchar(255), password varchar(255), profile_img varchar(255), username varchar(255), primary key (id)) engine=InnoDB|create table member (id bigint not null auto_increment, create_date datetime(6), modify_date datetime(6), email varchar(255), password varchar(255), profile_img varchar(255), username varchar(255), primary key (id)) engine=InnoDB
1664439651998|35|statement|connection 92|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|alter table member add constraint UK_gc3jmn7c2abyo3wf6syln5t2i unique (username)|alter table member add constraint UK_gc3jmn7c2abyo3wf6syln5t2i unique (username)
1664439652103|103|statement|connection 92|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|alter table article add constraint FKhsk0dkar5bxukvagpa0pcolrw foreign key (author_id) references member (id)|alter table article add constraint FKhsk0dkar5bxukvagpa0pcolrw foreign key (author_id) references member (id)
1664439725207|1|statement|connection 105|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into member (create_date, modify_date, email, password, profile_img, username) values (?, ?, ?, ?, ?, ?)|insert into member (create_date, modify_date, email, password, profile_img, username) values ('2022-09-29T17:22:05.200+0900', '2022-09-29T17:22:05.200+0900', 'user1@test.com', '$2a$10$Pj2/Xskk02YpxJrvelhc7OLHa1QVVtexVa.CO2G3BduKUAr/3h5Gq', NULL, 'user1')
